Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0231,1,,,Default,1,Assembly
Hanging thing NewtonsCradle 0231,1,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Hanging thing NewtonsCradle 0231,5,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
frame NewtonsCradle 0231,2,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Sphere NewtonsCradle 0231,3,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Sphere NewtonsCradle 0231,5,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Hanging thing NewtonsCradle 0231,2,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
frame NewtonsCradle 0231,1,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Hanging thing NewtonsCradle 0231,4,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Base NewtonsCradle 0231,1,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Hanging thing NewtonsCradle 0231,3,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Sphere NewtonsCradle 0231,1,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Sphere NewtonsCradle 0231,2,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
Sphere NewtonsCradle 0231,4,Newtons Cradle NewtonsCradle 0231,1,Default,2,Part
