Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0247,1,,,Default,1,Assembly
Sphere NewtonsCradle 0247,2,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Sphere NewtonsCradle 0247,1,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Sphere NewtonsCradle 0247,3,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Sphere NewtonsCradle 0247,4,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Hanging thing NewtonsCradle 0247,5,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Sphere NewtonsCradle 0247,5,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Base 200,162074554295,1,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Hanging thing NewtonsCradle 0247,1,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Hanging thing NewtonsCradle 0247,2,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
frame NewtonsCradle 0247,1,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Hanging thing NewtonsCradle 0247,3,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
Hanging thing NewtonsCradle 0247,4,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
frame NewtonsCradle 0247,2,Newtons Cradle NewtonsCradle 0247,1,Default,2,Part
